hour_start,hour_label,tod_block,base_energy_charge_inr_per_kwh,tod_adder_inr_per_kwh,effective_rate_inr_per_kwh,is_peak_hour,is_solar_hour,is_night_hour,category,voltage,tariff_year,effective_from
0,00:00-01:00,Normal,4.00,0.00,4.00,False,False,True,HTP-I High Tension (up to 500 kVA billing demand),11 kV and above,FY2026-27,2026-04-01
1,01:00-02:00,Normal,4.00,0.00,4.00,False,False,True,HTP-I High Tension (up to 500 kVA billing demand),11 kV and above,FY2026-27,2026-04-01
2,02:00-03:00,Normal,4.00,0.00,4.00,False,False,True,HTP-I High Tension (up to 500 kVA billing demand),11 kV and above,FY2026-27,2026-04-01
3,03:00-04:00,Normal,4.00,0.00,4.00,False,False,True,HTP-I High Tension (up to 500 kVA billing demand),11 kV and above,FY2026-27,2026-04-01
4,04:00-05:00,Normal,4.00,0.00,4.00,False,False,True,HTP-I High Tension (up to 500 kVA billing demand),11 kV and above,FY2026-27,2026-04-01
5,05:00-06:00,Normal,4.00,0.00,4.00,False,False,True,HTP-I High Tension (up to 500 kVA billing demand),11 kV and above,FY2026-27,2026-04-01
6,06:00-07:00,Normal,4.00,0.00,4.00,False,False,True,HTP-I High Tension (up to 500 kVA billing demand),11 kV and above,FY2026-27,2026-04-01
7,07:00-08:00,Peak,4.00,0.45,4.45,True,False,False,HTP-I High Tension (up to 500 kVA billing demand),11 kV and above,FY2026-27,2026-04-01
8,08:00-09:00,Peak,4.00,0.45,4.45,True,False,False,HTP-I High Tension (up to 500 kVA billing demand),11 kV and above,FY2026-27,2026-04-01
9,09:00-10:00,Peak,4.00,0.45,4.45,True,False,False,HTP-I High Tension (up to 500 kVA billing demand),11 kV and above,FY2026-27,2026-04-01
10,10:00-11:00,Peak,4.00,0.45,4.45,True,False,False,HTP-I High Tension (up to 500 kVA billing demand),11 kV and above,FY2026-27,2026-04-01
11,11:00-12:00,Off-Peak Discount,4.00,-0.60,3.40,False,True,False,HTP-I High Tension (up to 500 kVA billing demand),11 kV and above,FY2026-27,2026-04-01
12,12:00-13:00,Off-Peak Discount,4.00,-0.60,3.40,False,True,False,HTP-I High Tension (up to 500 kVA billing demand),11 kV and above,FY2026-27,2026-04-01
13,13:00-14:00,Off-Peak Discount,4.00,-0.60,3.40,False,True,False,HTP-I High Tension (up to 500 kVA billing demand),11 kV and above,FY2026-27,2026-04-01
14,14:00-15:00,Off-Peak Discount,4.00,-0.60,3.40,False,True,False,HTP-I High Tension (up to 500 kVA billing demand),11 kV and above,FY2026-27,2026-04-01
15,15:00-16:00,Off-Peak Discount,4.00,-0.60,3.40,False,True,False,HTP-I High Tension (up to 500 kVA billing demand),11 kV and above,FY2026-27,2026-04-01
16,16:00-17:00,Off-Peak Discount,4.00,-0.60,3.40,False,True,False,HTP-I High Tension (up to 500 kVA billing demand),11 kV and above,FY2026-27,2026-04-01
17,17:00-18:00,Normal,4.00,0.00,4.00,False,False,False,HTP-I High Tension (up to 500 kVA billing demand),11 kV and above,FY2026-27,2026-04-01
18,18:00-19:00,Peak,4.00,0.45,4.45,True,False,False,HTP-I High Tension (up to 500 kVA billing demand),11 kV and above,FY2026-27,2026-04-01
19,19:00-20:00,Peak,4.00,0.45,4.45,True,False,False,HTP-I High Tension (up to 500 kVA billing demand),11 kV and above,FY2026-27,2026-04-01
20,20:00-21:00,Peak,4.00,0.45,4.45,True,False,False,HTP-I High Tension (up to 500 kVA billing demand),11 kV and above,FY2026-27,2026-04-01
21,21:00-22:00,Peak,4.00,0.45,4.45,True,False,False,HTP-I High Tension (up to 500 kVA billing demand),11 kV and above,FY2026-27,2026-04-01
22,22:00-23:00,Normal,4.00,0.00,4.00,False,False,True,HTP-I High Tension (up to 500 kVA billing demand),11 kV and above,FY2026-27,2026-04-01
23,23:00-00:00,Normal,4.00,0.00,4.00,False,False,True,HTP-I High Tension (up to 500 kVA billing demand),11 kV and above,FY2026-27,2026-04-01
