Time,Time_of_day,Base_charge,Adder_charge,Effective_price,Region,Currency,Tariff_type,Season
00:00-01:00,Night,7.65,-0.5,7.15,IN-TG,INR,ToD,All-Year
01:00-02:00,Night,7.65,-0.5,7.15,IN-TG,INR,ToD,All-Year
02:00-03:00,Night,7.65,-0.5,7.15,IN-TG,INR,ToD,All-Year
03:00-04:00,Night,7.65,-0.5,7.15,IN-TG,INR,ToD,All-Year
04:00-05:00,Night,7.65,-0.5,7.15,IN-TG,INR,ToD,All-Year
05:00-06:00,Night,7.65,-0.5,7.15,IN-TG,INR,ToD,All-Year
06:00-07:00,Normal,7.65,0.0,7.65,IN-TG,INR,ToD,All-Year
07:00-08:00,Normal,7.65,0.0,7.65,IN-TG,INR,ToD,All-Year
08:00-09:00,Normal,7.65,0.0,7.65,IN-TG,INR,ToD,All-Year
09:00-10:00,Normal,7.65,0.0,7.65,IN-TG,INR,ToD,All-Year
10:00-11:00,Solar,7.65,-0.5,7.15,IN-TG,INR,ToD,All-Year
11:00-12:00,Solar,7.65,-0.5,7.15,IN-TG,INR,ToD,All-Year
12:00-13:00,Solar,7.65,-0.5,7.15,IN-TG,INR,ToD,All-Year
13:00-14:00,Solar,7.65,-0.5,7.15,IN-TG,INR,ToD,All-Year
14:00-15:00,Solar,7.65,-0.5,7.15,IN-TG,INR,ToD,All-Year
15:00-16:00,Solar,7.65,-0.5,7.15,IN-TG,INR,ToD,All-Year
16:00-17:00,Solar,7.65,-0.5,7.15,IN-TG,INR,ToD,All-Year
17:00-18:00,Solar,7.65,-0.5,7.15,IN-TG,INR,ToD,All-Year
18:00-19:00,Peak,7.65,1.1,8.75,IN-TG,INR,ToD,All-Year
19:00-20:00,Peak,7.65,1.1,8.75,IN-TG,INR,ToD,All-Year
20:00-21:00,Peak,7.65,1.1,8.75,IN-TG,INR,ToD,All-Year
21:00-22:00,Peak,7.65,1.1,8.75,IN-TG,INR,ToD,All-Year
22:00-23:00,Night,7.65,-0.5,7.15,IN-TG,INR,ToD,All-Year
23:00-00:00,Night,7.65,-0.5,7.15,IN-TG,INR,ToD,All-Year
00:00-01:00,Normal,4.0,0.0,4.0,IN-GJ,INR,ToD,All-Year
01:00-02:00,Normal,4.0,0.0,4.0,IN-GJ,INR,ToD,All-Year
02:00-03:00,Normal,4.0,0.0,4.0,IN-GJ,INR,ToD,All-Year
03:00-04:00,Normal,4.0,0.0,4.0,IN-GJ,INR,ToD,All-Year
04:00-05:00,Normal,4.0,0.0,4.0,IN-GJ,INR,ToD,All-Year
05:00-06:00,Normal,4.0,0.0,4.0,IN-GJ,INR,ToD,All-Year
06:00-07:00,Normal,4.0,0.0,4.0,IN-GJ,INR,ToD,All-Year
07:00-08:00,Peak,4.0,0.45,4.45,IN-GJ,INR,ToD,All-Year
08:00-09:00,Peak,4.0,0.45,4.45,IN-GJ,INR,ToD,All-Year
09:00-10:00,Peak,4.0,0.45,4.45,IN-GJ,INR,ToD,All-Year
10:00-11:00,Peak,4.0,0.45,4.45,IN-GJ,INR,ToD,All-Year
11:00-12:00,Solar,4.0,-0.6,3.4,IN-GJ,INR,ToD,All-Year
12:00-13:00,Solar,4.0,-0.6,3.4,IN-GJ,INR,ToD,All-Year
13:00-14:00,Solar,4.0,-0.6,3.4,IN-GJ,INR,ToD,All-Year
14:00-15:00,Solar,4.0,-0.6,3.4,IN-GJ,INR,ToD,All-Year
15:00-16:00,Solar,4.0,-0.6,3.4,IN-GJ,INR,ToD,All-Year
16:00-17:00,Solar,4.0,-0.6,3.4,IN-GJ,INR,ToD,All-Year
17:00-18:00,Normal,4.0,0.0,4.0,IN-GJ,INR,ToD,All-Year
18:00-19:00,Peak,4.0,0.45,4.45,IN-GJ,INR,ToD,All-Year
19:00-20:00,Peak,4.0,0.45,4.45,IN-GJ,INR,ToD,All-Year
20:00-21:00,Peak,4.0,0.45,4.45,IN-GJ,INR,ToD,All-Year
21:00-22:00,Peak,4.0,0.45,4.45,IN-GJ,INR,ToD,All-Year
22:00-23:00,Normal,4.0,0.0,4.0,IN-GJ,INR,ToD,All-Year
23:00-00:00,Normal,4.0,0.0,4.0,IN-GJ,INR,ToD,All-Year
00:00-01:00,Off-Peak,7.07,-2.62,4.45,IN-WB,INR,ToD,All-Year
01:00-02:00,Off-Peak,7.07,-2.62,4.45,IN-WB,INR,ToD,All-Year
