job_id,team_id,job_type,region,energy_kwh,runtime_minutes,selected_start,selected_end,carbon_intensity,carbon_emission_kg,baseline_carbon_emission_kg,carbon_avoided_kg,carbon_reduction_pct,electricity_cost_usd,baseline_cost_usd,cost_difference_usd,cost_reduction_pct,native_cost_inr,baseline_native_cost_inr,cost_saved_inr,scheduling_delay_hours,sla_met,tariff_plan,scheduling_method,slot_utilization_pct,demand_predicted,spilled_from_preferred,ml_advisor_used
GS-JOB-000001,operations,DATA_PROCESSING,IN-TG,2.34,47,2026-09-08T19:00:00,2026-09-08T19:47:00,549.0,1.28466,1.24722,0.0,0.0,0.200772,0.200772,0.0,0.0,16.73,16.73,0.0,0.84,True,ToD,batch_contention_aware_ml,97.1,0.2516,True,True
GS-JOB-000002,ml-platform,ETL,IN-GJ,6.016,77,2026-09-08T20:00:00,2026-09-08T21:17:00,681.0,4.096896,3.916416,0.0,0.0,0.288768,0.288768,0.0,0.0,24.06,24.06,0.0,1.84,True,ToD,batch_contention_aware_ml,72.9,0.2516,True,True
GS-JOB-000003,data-engineering,ETL,IN-WB,11.591,104,2026-09-08T18:09:20.000345,2026-09-08T19:53:20.000345,750.0,8.69325,8.69325,0.0,0.0,0.618959,0.618959,0.0,0.0,51.58,51.58,0.0,0.0,True,ToD,batch_contention_aware_ml,20.0,0.9977,False,True
GS-JOB-000004,data-engineering,ETL,IN-PB,5.01,100,2026-09-08T18:09:20.000345,2026-09-08T19:49:20.000345,493.0,2.46993,2.46993,0.0,0.0,0.36072,0.36072,0.0,0.0,30.06,30.06,0.0,0.0,True,ToD,batch_contention_aware_ml,35.7,0.9977,False,True
GS-JOB-000005,finance,ETL,US-CA,11.371,82,2026-09-08T20:00:00,2026-09-08T21:22:00,174.0,1.978554,1.523714,0.0,0.0,1.305618,1.305618,0.0,0.0,1.31,1.31,0.0,1.84,True,ToD,batch_contention_aware_ml,95.7,0.2516,True,True
GS-JOB-000006,analytics,REPORT_GENERATION,US-NY,2.91,58,2026-09-09T00:00:00,2026-09-09T00:58:00,344.0,1.00104,1.00686,0.00582,0.58,0.60528,0.60528,0.0,0.0,0.61,0.61,0.0,5.84,True,Demand,batch_contention_aware_ml,10.0,0.2516,False,True
GS-JOB-000007,finance,BACKUP,US-TX,6.85,82,2026-09-09T14:00:00,2026-09-09T15:22:00,295.0,2.02075,2.329,0.30825,13.24,0.419193,0.419193,0.0,0.0,0.42,0.42,0.0,19.84,True,Flat,batch_contention_aware_ml,12.9,0.9977,False,True
GS-JOB-000008,analytics,REPORT_GENERATION,SE,8.76,175,2026-09-08T20:00:00,2026-09-08T22:55:00,16.0,0.14016,0.16644,0.02628,15.79,0.028295,0.028295,0.0,0.0,0.3,0.3,0.0,1.84,True,Demand,batch_contention_aware_ml,31.4,0.2516,False,True
GS-JOB-000009,data-engineering,ETL,AU-SA-Large,11.766,133,2026-09-08T23:00:00,2026-09-09T01:13:00,44.0,0.517704,0.447108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.84,True,Demand,batch_contention_aware_ml,85.7,0.2516,True,True
GS-JOB-000010,data-engineering,ETL,AU-SA-Small,15.416,113,2026-09-08T18:09:20.000345,2026-09-08T20:02:20.000345,38.0,0.585808,0.585808,0.0,0.0,0.901836,0.901836,0.0,0.0,1.39,1.39,0.0,0.0,True,ToD,batch_contention_aware_ml,58.6,0.9977,False,True
