job_id,team_id,job_type,region,energy_kwh,runtime_minutes,selected_start,selected_end,carbon_intensity,carbon_emission_kg,baseline_carbon_emission_kg,carbon_avoided_kg,carbon_reduction_pct,electricity_cost_usd,baseline_cost_usd,cost_difference_usd,cost_reduction_pct,currency,native_cost,baseline_native_cost,cost_saved_native,scheduling_delay_hours,sla_met,tariff_plan,scheduling_method,slot_utilization_pct,demand_predicted,spilled_from_preferred,ml_advisor_used
GS-JOB-000001,operations,DATA_PROCESSING,IN-TG,2.34,47,2026-09-15T17:00:00,2026-09-15T17:47:00,610.0,1.4274,1.42506,0.0,0.0,0.200772,0.2457,0.044928,18.29,INR,16.73,20.48,3.74,2.9,True,ToD,single_greedy,0.0,0.0,False,False
GS-JOB-000002,ml-platform,ETL,IN-GJ,6.016,77,2026-09-15T17:00:00,2026-09-15T18:17:00,686.0,4.126976,4.108928,0.0,0.0,0.288768,0.321254,0.032486,10.11,INR,24.06,26.77,2.71,2.9,True,ToD,single_greedy,0.0,0.0,False,False
GS-JOB-000003,data-engineering,ETL,IN-WB,11.591,104,2026-09-15T14:06:03.520922,2026-09-15T15:50:03.520922,738.0,8.554158,8.554158,0.0,0.0,1.523057,1.523057,0.0,0.0,INR,126.92,126.92,0.0,0.0,True,ToD,single_greedy,0.0,0.0,False,False
GS-JOB-000004,data-engineering,ETL,IN-PB,5.01,100,2026-09-15T17:00:00,2026-09-15T18:40:00,520.0,2.6052,2.51001,0.0,0.0,0.36072,0.54108,0.18036,33.33,INR,30.06,45.09,15.03,2.9,True,ToD,single_greedy,0.0,0.0,False,False
GS-JOB-000005,finance,ETL,US-CA,11.371,82,2026-09-15T16:00:00,2026-09-15T17:22:00,139.0,1.580569,2.854121,1.273552,44.62,1.305618,1.305618,0.0,0.0,USD,1.31,1.31,0.0,1.9,True,ToD,single_greedy,0.0,0.0,False,False
GS-JOB-000006,analytics,REPORT_GENERATION,US-NY,2.91,58,2026-09-15T14:06:03.602436,2026-09-15T15:04:03.602436,321.0,0.93411,0.93411,0.0,0.0,0.60528,0.60528,0.0,0.0,USD,0.61,0.61,0.0,0.0,True,Demand,single_greedy,0.0,0.0,False,False
GS-JOB-000007,finance,BACKUP,US-TX,6.85,82,2026-09-15T15:00:00,2026-09-15T16:22:00,245.0,1.67825,1.71935,0.0411,2.39,0.419193,0.419193,0.0,0.0,USD,0.42,0.42,0.0,0.9,True,Flat,single_greedy,0.0,0.0,False,False
GS-JOB-000008,analytics,REPORT_GENERATION,SE,8.76,175,2026-09-15T14:06:03.686082,2026-09-15T17:01:03.686082,17.0,0.14892,0.14892,0.0,0.0,0.028295,0.028295,0.0,0.0,SEK,0.3,0.3,0.0,0.0,True,Demand,single_greedy,0.0,0.0,False,False
GS-JOB-000009,data-engineering,ETL,AU-SA-Large,11.766,133,2026-09-15T14:06:03.741440,2026-09-15T16:19:03.741440,42.0,0.494172,0.494172,0.0,0.0,0.0,0.0,0.0,0.0,AUD,0.0,0.0,0.0,0.0,True,Demand,single_greedy,0.0,0.0,False,False
GS-JOB-000010,data-engineering,ETL,AU-SA-Small,15.416,113,2026-09-15T14:06:03.766924,2026-09-15T15:59:03.766924,42.0,0.647472,0.647472,0.0,0.0,0.901836,0.901836,0.0,0.0,AUD,1.39,1.39,0.0,0.0,True,ToD,single_greedy,0.0,0.0,False,False
GS-JOB-000011,operations,REPORT_GENERATION,IN-TG,4.59,102,2026-09-15T14:06:03.786575,2026-09-15T15:48:03.786575,609.0,2.79531,2.79531,0.0,0.0,0.48195,0.48195,0.0,0.0,INR,40.16,40.16,0.0,0.0,True,ToD,single_greedy,0.0,0.0,False,False
